longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,484404.63,<1H OCEAN
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,196175.02,<1H OCEAN
-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,209068.0,<1H OCEAN
-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,169822.0,<1H OCEAN
-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,217205.0,NEAR OCEAN
-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,163839.0,<1H OCEAN
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,119158.0,NEAR BAY
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,435406.25,NEAR OCEAN
-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,292155.05,<1H OCEAN
-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,238416.03,NEAR OCEAN
-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,424221.39,<1H OCEAN
-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,71215.0,INLAND
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,254148.01,INLAND
-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,261839.0,<1H OCEAN
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,244622.0,<1H OCEAN
-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,129074.0,INLAND
-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,92269.0,INLAND
-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,95978.0,INLAND
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,333964.01,<1H OCEAN
-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,356841.08,<1H OCEAN
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,202241.0,<1H OCEAN
-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,298032.0,<1H OCEAN
-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,221106.0,<1H OCEAN
